Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
Verlorenhoek,,5446–5446,Sint Anthonis,Noord-Brabant
Vernhout,,5492–5492,Meierijstad,Noord-Brabant
Vessem,2996,5512–5512,Eersel,Noord-Brabant
Vestjenshoek,,6095–6095,Leudal,Limburg
Vethuizen,2211,7046–7046,Montferland,Gelderland
Vetterik,,4661–4661,Bergen op Zoom,Noord-Brabant
Veulen,2336,5814–5814,Venray,Limburg
Vianen,,5434–5434,Cuijk,Noord-Brabant
Vianen,2843,4131–4133,Vijfheerenlanden,Utrecht
Viel,,6456–6456,Beekdaelen,Limburg
Vierakker,1532,7233–7233,Bronckhorst,Gelderland
Vierbannen,,4273–4273,Altena,Noord-Brabant
Vierhouten,2985,8076–8076,Nunspeet,Gelderland
Vierhuis,,8919–8919,Leeuwarden,Fryslân
Vierhuis / Fjouwerhûs,,8507–8507,De Fryske Marren,Fryslân
Vierhuizen,3426,9975–9975,Het Hogeland,Groningen
Vierhuizen,,9909–9909,Delfzijl,Groningen
Vierhuizen,,8758–8758,Súdwest-Fryslân,Fryslân
Vierlingsbeek,1223,5821–5821,Boxmeer,Noord-Brabant
Vierpolders,2369,3237–3237,Brielle,Zuid-Holland
Vieruitersten,,5768–5768,Peel en Maas,Limburg
Vierverlaten,,9744–9744,Groningen,Groningen
Vijcie,,4254–4254,Altena,Noord-Brabant
Vijfhoek,,4561–4561,Hulst,Zeeland
Vijfhoek,,4725–4726,Roosendaal,Noord-Brabant
Vijfhuis / Fijfhûs,,8774–8774,Súdwest-Fryslân,Fryslân
Vijfhuizen,,5133–5133,Goirle,Noord-Brabant
Vijfhuizen,1613,2141–2141,Haarlemmermeer,Noord-Holland
Vijfhuizen,,9078–9078,Waadhoeke,Fryslân
Vijfhuizen,,4909–4909,Oosterhout,Noord-Brabant
Vijfhuizen,,5011–5011,Tilburg,Noord-Brabant
Vijfhuizen / Fiifhuzen,,9145–9145,Noardeast-Fryslân,Fryslân
Vijlen,1431,6294–6294,Vaals,Limburg
Vilgert,,5941–5941,Venlo,Limburg
t Villeken,,7122–7122,Aalten,Gelderland
Vilsteren,2554,7734–7734,Ommen,Overijssel
Vilt,,6325–6325,Valkenburg aan de Geul,Limburg
Vink,,6363–6363,Beekdaelen,Limburg
Vinke(n)kade,,3645–3645,De Ronde Venen,Utrecht
Vinkega / Finkegea,1743,8393–8393,Weststellingwerf,Fryslân
Vinkel,3612,5381–5383,s-Hertogenbosch,Noord-Brabant
Vinkel,3063,5384–5384,Bernheze,Noord-Brabant
Vinkenberg,,5066–5066,Oisterwijk,Noord-Brabant
Vinkenbroek,,4703–4703,Roosendaal,Noord-Brabant
Vinkenbuurt,2555,7739–7739,Ommen,Overijssel
Vinkepas,,5975–5975,Horst aan de Maas,Limburg
Vinkeveen,3550,3645–3645,De Ronde Venen,Utrecht
Vinkwijk,,7038–7038,Montferland,Gelderland
Visberg,,4756–4756,Steenbergen,Noord-Brabant
Visbuurt / Fiskbuorren,,9145–9145,Noardeast-Fryslân,Fryslân
Visdonk,,4707–4707,Roosendaal,Noord-Brabant
Visschershoek,,3253–3253,Goeree-Overflakkee,Zuid-Holland
Visser(s)weert,,6116–6116,Echt-Susteren,Limburg
Vissersburen / Fiskersbuorren,,8611–8611,Súdwest-Fryslân,Fryslân
Visvliet,2127,9845–9845,Westerkwartier,Groningen
t Vlaandertje,,4451–4451,Borsele,Zeeland
Vlaardingen,1015,3131–3139,Vlaardingen,Zuid-Holland
Vlaas,,6086–6086,Leudal,Limburg
Vlagberg,,5845–5845,Sint Anthonis,Noord-Brabant
Vlagtwedde,2298,9541–9541,Westerwolde,Groningen
Vlagtwedder-Veldhuis,,9541–9541,Westerwolde,Groningen
Vlake,,4417–4417,Reimerswaal,Zeeland
Vlas,,5712–5712,Someren,Noord-Brabant
Vledder,3122,8381–8381,Westerveld,Drenthe
Vledderhuizen,,9591–9591,Stadskanaal,Groningen
Vledderveen,3078,9585–9585,Stadskanaal,Groningen
Vledderveen,3123,8385–8385,Westerveld,Drenthe
Vleet,,4725–4725,Roosendaal,Noord-Brabant
Vlengendaal,,6351–6351,Simpelveld,Limburg
Vleuten,3296,3451–3452,Utrecht,Utrecht
Vliegert,,5985–5985,Peel en Maas,Limburg
Vlieghuis,,7742–7742,Coevorden,Drenthe
Vlieland,,2641–2641,Pijnacker-Nootdorp,Zuid-Holland
Vlieland / Flylân,3299,8899–8899,Vlieland,Fryslân
Vlierden,1775,5756–5756,Deurne,Noord-Brabant
Vliet,,3421–3421,Oudewater,Utrecht
Vlijmen,3503,5251–5252,Heusden,Noord-Brabant
Vlissingen,1078,4381–4387,Vlissingen,Zeeland
Vlist,2389,2855–2855,Krimpenerwaard,Zuid-Holland
Vlodrop,2595,6063–6063,Roerdalen,Limburg
Vloeieind,,5756–5756,Deurne,Noord-Brabant
Vloeieind,,5095–5095,Reusel-De Mierden,Noord-Brabant
Vloet,,5408–5408,Uden,Noord-Brabant
Vlootkant,,6039–6039,Weert,Limburg
t Vlot,,6661–6846,Overbetuwe,Gelderland
Voederheil,,5411–5411,Landerd,Noord-Brabant
Voerendaal,1855,6367–6367,Voerendaal,Limburg
Vogelenzang,2651,2114–2114,Bloemendaal,Noord-Holland
Vogelfort,,4585–4585,Hulst,Zeeland
Vogelswerf,,4211–4211,West Betuwe,Gelderland
Vogelwaarde,3095,4581–4581,Hulst,Zeeland
Vogelzang,,6611–6611,Heumen,Gelderland
Volendam,1748,1131–1132,Edam-Volendam,Noord-Holland
Volkel,1848,5408–5408,Uden,Noord-Brabant
Vollenhove,2716,8325–8325,Steenwijkerland,Overijssel
Volthe,,7596–7596,Dinkelland,Overijssel
Vondelingenplaat,,3196–3196,Rotterdam,Zuid-Holland
Het Vonderen,,6051–6051,Maasgouw,Limburg
Voorburg,1622,2271–2275,Leidschendam-Voorburg,Zuid-Holland
Voordeldonk,,5721–5721,Asten,Noord-Brabant
Voordijk,,5251–5251,Heusden,Noord-Brabant
Vooreind,,5096–5096,Reusel-De Mierden,Noord-Brabant
Voorhout,2004,2215–2215,Teylingen,Zuid-Holland
Voorne,,6624–6624,Maasdriel,Gelderland
Voorrijp / Foarryp,,8857–8857,Harlingen,Fryslân
Voorschoten,3231,2251–2254,Voorschoten,Zuid-Holland
Voorst,1586,7083–7083,Oude IJsselstreek,Gelderland
Voorst,,6061–6061,Roerdalen,Limburg
Voorst,2612,7383–7383,Voorst,Gelderland
De Voorstad,,5757–5757,Deurne,Noord-Brabant
Voorste Beersdonk,,5756–5756,Deurne,Noord-Brabant
Voorste Brug,,5556–5556,Valkenswaard,Noord-Brabant
Voorste Diesdonk,,5724–5724,Asten,Noord-Brabant
Voorste Heikant,,5541–5541,Reusel-De Mierden,Noord-Brabant
Voorsterveld,,6061–6061,Roerdalen,Limburg
Voorstonden,,6971–6971,Brummen,Gelderland
De Voort,,5521–5521,Eersel,Noord-Brabant
Voort,,5561–5561,Bergeijk,Noord-Brabant
Voort,,5752–5752,Deurne,Noord-Brabant
De Voort / Voort (?),,5943–5943,Venlo,Limburg
Voorteind,,5091–5091,Oirschot,Noord-Brabant
Voorthuizen,3599,3781–3781,Barneveld,Gelderland
Voortje,,5731–5731,Geldrop-Mierlo,Noord-Brabant
Voorweg,,2391–2391,Alphen aan den Rijn,Zuid-Holland
Vorchten,2867,8193–8193,Heerde,Gelderland
Vorden,3573,7251–7251,Bronckhorst,Gelderland
Ten Vorsel,,5531–5531,Bladel,Noord-Brabant
De Vorst,,5281–5281,Boxtel,Noord-Brabant
De Vorst,,5975–5975,Horst aan de Maas,Limburg
Het Vorst / Vorst,,5941–5941,Venlo,Limburg
Vorstenbosch,3064,5476–5476,Bernheze,Noord-Brabant
Vortum-Mullem,1224,5827–5827,Boxmeer,Noord-Brabant
Vosberg,,5891–5981,Peel en Maas,Limburg
Voske,,5111–5111,Baarle-Nassau,Noord-Brabant
Voskuil,,8094–8094,Oldebroek,Gelderland
Voskuilen,,3931–3931,Woudenberg,Utrecht
Vossebelt,,7751–7751,Coevorden,Drenthe
Vosseberg,,9585–9585,Stadskanaal,Groningen
Vosseburen,,8408–8408,Opsterland,Fryslân
Vosselen,,5721–5721,Asten,Noord-Brabant
Vossenberg,,5424–5424,Gemert-Bakel,Noord-Brabant
Vossenberg,,5126–5126,Gilze en Rijen,Noord-Brabant
t Vosseneind,,6582–6582,Heumen,Gelderland
Vossenpels,,6681–6681,Lingewaard,Gelderland
Vossenpels,,6663–6663,Nijmegen,Gelderland
Voulwames,,6241–6241,Meerssen,Limburg
Vrachelen,,4911–4911,Oosterhout,Noord-Brabant
Vragender,2226,7134–7134,Oost Gelre,Gelderland
Vredenheim,1181,9445–9445,Aa en Hunze,Drenthe
Vredepeel,2337,5816–5816,Venray,Limburg
Vreeland,3525,3633–3633,Stichtse Vecht,Utrecht
Vreewijk,,5753–5753,Deurne,Noord-Brabant
Vries,2912,9481–9481,Tynaarlo,Drenthe
Vriescheloo,2235,9699–9699,Westerwolde,Groningen
Vriezekoop,,2451–2451,Kaag en Braassem,Zuid-Holland
Vriezenveen,3325,7671–7672,Twenterand,Overijssel
Vrij,,5853–5853,Bergen,Limburg
Vrijhoeve,,5161–5161,Waalwijk,Noord-Brabant
Vrijhoeven,,2461–2461,Nieuwkoop,Zuid-Holland
Vrilkhoven,,5298–5298,Boxtel,Noord-Brabant
Vroelen,,6255–6255,Eijsden-Margraten,Limburg
Vroenhout,,4703–4703,Roosendaal,Noord-Brabant
Vroomshoop,3326,7681–7681,Twenterand,Overijssel
Vrouwbuurtstermolen,,9071–9071,Leeuwarden,Fryslân
Vrouwenakker,2672,1428–1428,Nieuwkoop,Zuid-Holland
Vrouwenparochie / Froubuorren,3334,9077–9077,Waadhoeke,Fryslân
Vrouwenpolder,2784,4354–4354,Veere,Zeeland
Vrouwentroost,,1431–1431,Aalsmeer,Noord-Holland
Vuchtschoot,,4838–4838,Breda,Noord-Brabant
Vught,1619,5261–5264,Vught,Noord-Brabant
Vuile Riete,,7925–7925,De Wolden,Drenthe
Vuilendam,,2974–2974,Molenlanden,Zuid-Holland
Vuilpan,,4529–4529,Sluis,Zeeland
Vuren,2357,4214–4214,West Betuwe,Gelderland
Völckerdorp,,4411–4411,Reimerswaal,Zeeland
Waaksens / Waaxens,2031,8845–8845,Súdwest-Fryslân,Fryslân
De Waal,2739,1793–1793,Texel,Noord-Holland
Waal,1809,2968–2968,Molenlanden,Zuid-Holland
Waalbroek,,6369–6369,Simpelveld,Limburg
Waalre,1006,5581–5583,Waalre,Noord-Brabant
Waalwijk,2597,5141–5146,Waalwijk,Noord-Brabant
Waanskinderen,,4481–4481,Goes,Zeeland
t Waar,1895,9942–9942,Oldambt,Groningen
Waarde,3466,4414–4414,Reimerswaal,Zeeland
Waardenburg,3368,4181–4181,West Betuwe,Gelderland
Waarder,2478,3466–3466,Bodegraven-Reeuwijk,Zuid-Holland
Waardhuizen,3305,4287–4287,Altena,Noord-Brabant
Waarland,3293,1738–1738,Schagen,Noord-Holland
Waatskamp,,6035–6035,Nederweert,Limburg
Waaxens,3412,9152–9152,Noardeast-Fryslân,Fryslân
Wachtum,2165,7754–7754,Coevorden,Drenthe
Waddinxveen,3051,2741–2743,Waddinxveen,Zuid-Holland
Wadenoijen,2559,4014–4014,Tiel,Gelderland
Wadway,,1687–1687,Medemblik,Noord-Holland
Wadwerd,,9988–9988,Het Hogeland,Groningen
Wagenberg,2579,4845–4845,Drimmelen,Noord-Brabant
Wagenborgen,3244,9945–9945,Delfzijl,Groningen
Wageningen,2006,6701–6709,Wageningen,Gelderland
Wahlwiller,,6286–6286,Gulpen-Wittem,Limburg
Waije,,6086–6086,Leudal,Limburg
Walderveen,,6741–6741,Ede,Gelderland
Walem,1719,6341–6342,Valkenburg aan de Geul,Limburg
Walik,,5561–5561,Bergeijk,Noord-Brabant
Wals,,7081–7081,Oude IJsselstreek,Gelderland
Walsert,,5446–5446,Sint Anthonis,Noord-Brabant
Ter Walslage,,9551–9551,Westerwolde,Groningen
Walsoorden,3101,4588–4588,Hulst,Zeeland
Wamberg,,5258–5258,Sint-Michielsgestel,Noord-Brabant
Wamel,1773,6659–6659,West Maas en Waal,Gelderland
Wammert,,8835–8835,Leeuwarden,Fryslân
Wanneperveen,2717,7946–7946,Steenwijkerland,Overijssel
Wanroij,2085,5446–5446,Sint Anthonis,Noord-Brabant
Wanssum,1861,5861–5861,Venray,Limburg
Wapenveld,2868,8191–8191,Heerde,Gelderland
Wapse,3124,7983–7983,Westerveld,Drenthe
Wapserveen,3125,8351–8351,Westerveld,Drenthe
War,,8802–8802,Waadhoeke,Fryslân
Warder,1843,1473–1473,Edam-Volendam,Noord-Holland
Warffum,3486,9989–9989,Het Hogeland,Groningen
Warfhuizen,3427,9963–9963,Het Hogeland,Groningen
Warfstermolen / Warfstermûne,3316,9852–9852,Noardeast-Fryslân,Fryslân
Warga / Wergea,2539,9005–9005,Leeuwarden,Fryslân
Warm,,7075–7075,Oude IJsselstreek,Gelderland
Warmenhuizen,3294,1749–1749,Schagen,Noord-Holland
Warmond,3542,2361–2362,Teylingen,Zuid-Holland
Warniahuizen,,8495–9245,Heerenveen,Fryslân
Warns,1971,8721–8721,Súdwest-Fryslân,Fryslân
Warnsveld,1396,7231–7232,Zutphen,Gelderland
Warstiens,2540,9004–9004,Leeuwarden,Fryslân
Wartena / Warten,2541,9003–9003,Leeuwarden,Fryslân
Waskemeer / Waskemar,1765,8434–8434,Ooststellingwerf,Fryslân
Waspik,2598,5165–5165,Waalwijk,Noord-Brabant
Waspik-Zuid,,5161–5161,Waalwijk,Noord-Brabant
Wassenaar,1821,2241–2245,Wassenaar,Zuid-Holland
Wassinkbrink,,7021–7021,Bronckhorst,Gelderland
Wateren,3126,8438–8438,Westerveld,Drenthe
Watergang,1945,1454–1454,Waterland,Noord-Holland
Waterhoek,,7273–7273,Berkelland,Gelderland
Waterhuizen,1022,9609–9609,Midden-Groningen,Groningen
Wateringen,2664,2291–2291,Westland,Zuid-Holland
Waterkant,,4664–4664,Bergen op Zoom,Noord-Brabant
Waterlandkerkje,2963,4508–4508,Sluis,Zeeland
Waterop,,6271–6271,Gulpen-Wittem,Limburg
Waterstraat,,5087–5087,Hilvarenbeek,Noord-Brabant
Waterval,,6235–6235,Meerssen,Limburg
Waver,,1191–1191,Ouder-Amstel,Noord-Holland
Waverveen,3551,3646–3646,De Ronde Venen,Utrecht
Weakens,,8831–8831,Waadhoeke,Fryslân
Wedde,2236,9698–9698,Westerwolde,Groningen
Wedderheide,,9698–9698,Westerwolde,Groningen
Wedderveer,,9698–9698,Westerwolde,Groningen
Weebosch,,5571–5571,Bergeijk,Noord-Brabant
Weeg,,5406–5406,Uden,Noord-Brabant
Weende,,9541–9541,Westerwolde,Groningen
De Weerd,,6041–6041,Roermond,Limburg
Weerd,,6067–6067,Maasgouw,Limburg
Weerdinge,,7814–7814,Emmen,Drenthe
De Weere,2789,1661–1663,Opmeer,Noord-Holland
De Weere / De Weel (?),,1732–1732,Hollands Kroon,Noord-Holland
Weerestein,,2181–2181,Hillegom,Zuid-Holland
Weerselo,1417,7595–7595,Dinkelland,Overijssel
Weert,,6231–6231,Meerssen,Limburg
Weert,1974,6001–6006,Weert,Limburg
Weerwille,,7961–7961,De Wolden,Drenthe
Weesp,3631,1381–1383,Weesp,Noord-Holland
Wehe-den Hoorn,3428,9964–9964,Het Hogeland,Groningen
Wehl,3248,7031–7031,Doetinchem,Gelderland
Weidum,2032,9024–9024,Leeuwarden,Fryslân
De Weijer,,5704–5704,Helmond,Noord-Brabant
Weijerswold,,7742–7742,Coevorden,Drenthe
Weijland,,2415–2415,Bodegraven-Reeuwijk,Zuid-Holland
Weijpoort,,2415–2415,Bodegraven-Reeuwijk,Zuid-Holland
Weilenseind,,5126–5126,Gilze en Rijen,Noord-Brabant
Weimeren,,4884–4884,Zundert,Noord-Brabant
Weipoort,,2381–2381,Zoeterwoude,Zuid-Holland
Weite,,9541–9541,Westerwolde,Groningen
Weitemanslanden,,7671–7671,Twenterand,Overijssel
Weiteveen,2000,7765–7765,Emmen,Drenthe
Wekerom,2771,6733–6733,Ede,Gelderland
Welberg,,4651–4651,Steenbergen,Noord-Brabant
Weleveld,,7625–7625,Borne,Overijssel
Well,,5855–5855,Bergen,Limburg
Well,1632,5325–5325,Maasdriel,Gelderland
Wellerlooi,1125,5856–5856,Bergen,Limburg
Wellseind,,5325–5325,Maasdriel,Gelderland
Welsum,,7722–7722,Dalfsen,Overijssel
Welsum,1382,8196–8196,Olst-Wijhe,Overijssel
Welsumerveld,,8196–8196,Olst-Wijhe,Overijssel
Wely,,6669–6669,Neder-Betuwe,Gelderland
Wemeldinge,1470,4424–4424,Kapelle,Zeeland
Wemmenhove,,7921–7921,De Wolden,Drenthe
Wenum,,7345–7345,Apeldoorn,Gelderland
Wenum Wiesel,3561,7345–7345,Apeldoorn,Gelderland
Weper / De Weper,,8431–8431,Ooststellingwerf,Fryslân
Weperpolder,,8431–8431,Ooststellingwerf,Fryslân
Wercheren,,6575–6575,Berg en Dal,Gelderland
Werendijke,,4374–4374,Veere,Zeeland
Werkendam,2218,4251–4251,Altena,Noord-Brabant
Werkhoven,2605,3985–3985,Bunnik,Utrecht
Wernhout,3491,4884–4884,Zundert,Noord-Brabant
Wernhoutsburg,,4884–4884,Zundert,Noord-Brabant
Werveld,,5441–5441,Boxmeer,Noord-Brabant
Werven,,8191–8191,Heerde,Gelderland
Wervershoof,3565,1693–1693,Medemblik,Noord-Holland
Wesch,,6255–6255,Eijsden-Margraten,Limburg
Wesepe,1381,8124–8124,Olst-Wijhe,Overijssel
Wessem,1919,6019–6019,Maasgouw,Limburg
Wessinge,,8085–8085,Elburg,Gelderland
Wessinghuizen,,9591–9591,Stadskanaal,Groningen
Wessingtange,,9551–9551,Westerwolde,Groningen
West aan Zee / West Oan See,,8881–8881,Terschelling,Fryslân
West Geesteren,,7678–7678,Tubbergen,Overijssel
West-Graftdijk,1908,1486–1486,Alkmaar,Noord-Holland
West-Souburg,,4385–4385,Vlissingen,Zeeland
West-Terschelling,2625,8881–8881,Terschelling,Fryslân
Westbeemster,2172,1464–1464,Beemster,Noord-Holland
Westbroek,2939,3615–3615,De Bilt,Utrecht
Westbroek,,6243–6243,Meerssen,Limburg
Westdijk,,3271–3271,Hoeksche Waard,Zuid-Holland
Westdorp,1802,9534–9534,Borger-Odoorn,Drenthe
Westdorpe,1138,4554–4554,Terneuzen,Zeeland
Westeind,,9697–9697,Westerwolde,Groningen
Westeind,,9636–9636,Midden-Groningen,Groningen
Het Westeinde,,1674–1674,Medemblik,Noord-Holland
Westeinde,,2391–2391,Alphen aan den Rijn,Zuid-Holland
Westeinde,,1764–1786,Hollands Kroon,Noord-Holland
Westeinde,,7946–7946,Steenwijkerland,Overijssel
Westeinde,,7991–7991,Westerveld,Drenthe
Westeinde,,2381–2381,Zoeterwoude,Zuid-Holland
Westelbeers,,5091–5091,Oirschot,Noord-Brabant
Westendorp,,8166–8166,Epe,Gelderland
Westendorp,1575,7054–7054,Oude IJsselstreek,Gelderland
Westeneng,,6732–6732,Ede,Gelderland
Westenesch,,7814–7814,Emmen,Drenthe
Westenschouwen,,4328–4328,Schouwen-Duiveland,Zeeland
Westerbeek,2086,5843–5843,Sint Anthonis,Noord-Brabant
Westerbork,3025,9431–9431,Midden-Drenthe,Drenthe
Westerbroek,1023,9608–9608,Midden-Groningen,Groningen
Westerburen / Westerbuorren,,9295–9295,Noardeast-Fryslân,Fryslân
Westerdijkshorn,,9781–9781,Het Hogeland,Groningen
Westerein / Zwaagwesteinde,3273,9271–9271,Dantumadiel,Fryslân
Westeremden,3455,9922–9922,Loppersum,Groningen
Westergeest / Westergeast,3317,9295–9295,Noardeast-Fryslân,Fryslân
Westerhaar-Vriezenveensewijk,3327,7676–7676,Twenterand,Overijssel
Westerhorn,,9988–9988,Het Hogeland,Groningen
Westerhoven,1460,5563–5563,Bergeijk,Noord-Brabant
Den Westerhuis,,7707–7707,Hardenberg,Overijssel
Westerklooster,,9977–9977,Het Hogeland,Groningen
Westerland,1490,1778–1778,Hollands Kroon,Noord-Holland
Westerlee,1900,9678–9678,Oldambt,Groningen
Westerlee,,2678–2678,Westland,Zuid-Holland
Westernieland,3429,9969–9969,Het Hogeland,Groningen
Westernijtjerk / Westernijtsjerk,,9073–9073,Noardeast-Fryslân,Fryslân
Westerse Bos,,7761–7761,Emmen,Drenthe
Westervelde,1652,9337–9337,Noordenveld,Drenthe
Westervoort,1936,6931–6932,Westervoort,Gelderland
Westerwijk,,5081–5081,Hilvarenbeek,Noord-Brabant
Westerwijtwerd,3456,9993–9993,Loppersum,Groningen
Westerzand,,9862–9862,Westerkwartier,Groningen
Westhem / Westhim,2424,8616–8616,Súdwest-Fryslân,Fryslân
Westhoek,3329,9075–9075,Waadhoeke,Fryslân
Westkapelle,2785,4361–4361,Veere,Zeeland
Westkerke,,4694–4694,Tholen,Zeeland
Westknollendam,1881,1525–1525,Zaanstad,Noord-Holland
Westlaren,,9471–9471,Tynaarlo,Drenthe
Westmaas,2385,3273–3273,Hoeksche Waard,Zuid-Holland
Westrik,,4841–4841,Breda,Noord-Brabant
Westwoud,1513,1617–1617,Drechterland,Noord-Holland
Westzaan,1882,1551–1551,Zaanstad,Noord-Holland
Wetering,2718,8363–8363,Steenwijkerland,Overijssel
Weteringbrug,1606,2156–2156,Haarlemmermeer,Noord-Holland
Wetsens / Wetzens,3413,9122–9122,Noardeast-Fryslân,Fryslân
Wetsinge,2474,9773–9773,Het Hogeland,Groningen
Weurt,2750,6551–6551,Beuningen,Gelderland
Weustenrade,,6343–6343,Voerendaal,Limburg
Wevershoek,,2988–2988,Ridderkerk,Zuid-Holland
Weverslo,,5815–5815,Venray,Limburg
Weverwijk,,4245–4245,Vijfheerenlanden,Utrecht
Wezel,,6604–6604,Wijchen,Gelderland
Wezep,3073,8091–8091,Oldebroek,Gelderland
Wezup,2166,7852–7852,Coevorden,Drenthe
Wezuperbrug,2167,7853–7853,Coevorden,Drenthe
Wichmond,3572,7234–7234,Bronckhorst,Gelderland
Wie,,9143–9143,Noardeast-Fryslân,Fryslân
Wieken,,7081–7081,Oude IJsselstreek,Gelderland
Wieksloot,,3763–3763,Soest,Utrecht
Wielder,,5973–5973,Horst aan de Maas,Limburg
Wieldrecht,,3316–3316,Dordrecht,Zuid-Holland
Wieler,,6071–6071,Roermond,Limburg
De Wielse Hoeven,,5293–5293,Sint-Michielsgestel,Noord-Brabant
Wiene,,7495–7495,Hof van Twente,Overijssel
Wier,2734,9043–9043,Waadhoeke,Fryslân
Wierden,1087,7641–7642,Wierden,Overijssel
Wierhuizen,,9968–9968,Het Hogeland,Groningen
Wieringerwaard,3187,1766–1766,Hollands Kroon,Noord-Holland
Wieringerwerf,2436,1771–1771,Hollands Kroon,Noord-Holland
Wierren,,9219–9219,Smallingerland,Fryslân
Wierum,3414,9141–9141,Noardeast-Fryslân,Fryslân
Wierum,,9774–9774,Het Hogeland,Groningen
Wierumerschouw,,9833–9833,Westerkwartier,Groningen
Wiesel,,7345–7345,Apeldoorn,Gelderland
Wijchen,2564,6601–6605,Wijchen,Gelderland
Wijckel / Wikel,1686,8563–8563,De Fryske Marren,Fryslân
Wijdenes,1514,1608–1608,Drechterland,Noord-Holland
Wijdewormer,2288,1456–1456,Wormerland,Noord-Holland
Wijgeest / De Wigeast of Wygeast (?),,9294–9294,Noardeast-Fryslân,Fryslân
Wijhe,1380,8131–8131,Olst-Wijhe,Overijssel
de Wijk,3162,7957–7957,De Wolden,Drenthe
Wijk aan Zee,3552,1949–1949,Beverwijk,Noord-Holland
Wijk bij Duurstede,1302,3961–3962,Wijk bij Duurstede,Utrecht
Wijk en Aalburg,1957,4261–4261,Altena,Noord-Brabant
Wijlre,1236,6321–6321,Gulpen-Wittem,Limburg
Wijnaldum / Winaem,2893,8857–8857,Harlingen,Fryslân
Wijnandsrade,2361,6363–6363,Beekdaelen,Limburg
Wijnbergen,2212,7048–7048,Montferland,Gelderland
Wijnbergen,,7007–7007,Doetinchem,Gelderland
Wijnbergen,,8166–8166,Epe,Gelderland
Wijngaarden,1986,3366–3366,Molenlanden,Zuid-Holland
Wijnjeterpverlaat / Weinterpfallaat,,9241–9241,Opsterland,Fryslân
Wijnjewoude / Wynjewâld,3358,9241–9241,Opsterland,Fryslân
Wijster,3026,9418–9418,Midden-Drenthe,Drenthe
Wijthmen,,8026–8026,Zwolle,Overijssel
Wijzend,,1688–1688,Medemblik,Noord-Holland
Wilbertoord,1979,5455–5455,Mill en Sint Hubert,Noord-Brabant
Het Wild,,5398–5398,Oss,Noord-Brabant
Wildenborch,,7244–7244,Bronckhorst,Gelderland
Wildeplaats,,9663–9663,Stadskanaal,Groningen
Wilderhof,,9939–9939,Midden-Groningen,Groningen
Wildert,,4881–4881,Zundert,Noord-Brabant
Wildervank,1241,9648–9648,Veendam,Groningen
Wildervanksterdallen,,9648–9648,Veendam,Groningen
De Wilgen / De Wylgen,3278,9213–9213,Smallingerland,Fryslân
Wilhelminadorp,1827,4475–4475,Goes,Zeeland
Wilhelminaoord,3127,8384–8384,Westerveld,Drenthe
Wilhelmsoord,,7814–7814,Emmen,Drenthe
Willebrordushoek,,5466–5466,Meierijstad,Noord-Brabant
Willemsdorp,,3316–3316,Dordrecht,Zuid-Holland
Willemsoord,2719,8338–8338,Steenwijkerland,Overijssel
Willemstad,,9363–9363,Westerkwartier,Groningen
Willemstad,1317,4797–4797,Moerdijk,Noord-Brabant
Willemstad,,8426–8426,Ooststellingwerf,Fryslân
Willeskop,,3421–3421,Oudewater,Utrecht
Willige Langerak,,3411–3411,Lopik,Utrecht
Wilnis,1931,3648–3648,De Ronde Venen,Utrecht
De Wilp,2260,9367–9367,Westerkwartier,Groningen
Wilp,2613,7384–7384,Voorst,Gelderland
Wilsum,2898,8274–8274,Kampen,Overijssel
